 	Label	Strain	Time	Well	Site	Area	X	Y	W	H
1	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	191	968.49	659.599	20480	20440
2	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	127	438.831	2919.217	20480	20440
3	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	117	404.799	2922.286	20480	20440
4	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	142	290.711	3016.359	20480	20440
5	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	130	686.715	3127.769	20480	20440
6	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	121	18365.798	5304.037	20480	20440
7	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	113	18400.022	5646.031	20480	20440
8	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	147	4704.786	11578.663	20480	20440
9	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	51	7125.01	12251.48	20480	20440
10	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	12	7123.083	12262.417	20480	20440
11	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	94	7096.33	12387.574	20480	20440
12	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	161	9650.941	12457.152	20480	20440
13	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	107	7018.519	12529.453	20480	20440
14	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	76	10518.447	14104.474	20480	20440
15	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	199	10628.249	14178.872	20480	20440
16	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	87	10642.27	14208.052	20480	20440
17	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	57	10772.009	14395.044	20480	20440
18	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	40	9933.1	16356.525	20480	20440
19	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	197	582.886	17413.074	20480	20440
20	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	149	245.889	17489.218	20480	20440
21	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	232	1625.56	17494.879	20480	20440
22	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	81	1590.068	17574.006	20480	20440
23	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	73	99.034	17650.185	20480	20440
24	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	69	117.529	17651.659	20480	20440
25	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	65	2035.146	17680.715	20480	20440
26	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	165	518.748	18106.148	20480	20440
27	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	160	974.325	18143.794	20480	20440
28	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	70	997.4	18154.286	20480	20440
29	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	61	1010.221	18166.943	20480	20440
30	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	157	1710.908	18287.608	20480	20440
31	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	141	428.096	18350.365	20480	20440
32	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	129	1670.609	18564.469	20480	20440
33	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	112	1761.143	18566.598	20480	20440
34	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	105	1401.833	18804.414	20480	20440
35	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	141	1356.826	18880.351	20480	20440
36	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	166	1606	18900.873	20480	20440
37	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	143	1565.612	19203.584	20480	20440
38	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	116	17713.966	19235.914	20480	20440
39	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	111	14536.824	19276.824	20480	20440
40	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	115	14166.935	19279.596	20480	20440
41	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	117	14237.175	19361.056	20480	20440
42	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	103	14432.112	19375.636	20480	20440
43	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	103	14443.199	19396.587	20480	20440
44	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	130	14259.331	19429.485	20480	20440
45	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	104	17500.51	19437.5	20480	20440
46	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	116	14057.543	19477.957	20480	20440
47	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	86	18285.337	19609.651	20480	20440
48	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	108	14228.481	19662.333	20480	20440
49	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht2	pch	2	B2	1	91	18210.753	19693.39	20480	20440
50	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	98	6089.398	668.837	20480	20440
51	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	68	6200.779	680.074	20480	20440
52	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	153	8708.356	678.592	20480	20440
53	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	93	5938.984	717.661	20480	20440
54	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	80	6248.712	739.5	20480	20440
55	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	118	8684.246	752.025	20480	20440
56	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	46	6124.022	750.457	20480	20440
57	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	94	14365.074	823.489	20480	20440
58	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	125	13936.124	962.532	20480	20440
59	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	87	17634.42	1232.155	20480	20440
60	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	90	17626.789	1253.933	20480	20440
61	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	87	18164.879	1843.557	20480	20440
62	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	99	17982.328	1857.308	20480	20440
63	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	17	19901.676	2040.853	20480	20440
64	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	59	19830.975	2062.602	20480	20440
65	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	65	3204.408	2203.069	20480	20440
66	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	60	3223.183	2208.167	20480	20440
67	B2-Ypet-800.tif:fe-03-10-multic2B2-pcht4	pch	4	B2	1	80	876.2	2535.95	20480	20440
