 	Label	Strain	Time	Well	Site	Area	X	Y	W	H
1	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	53	17025.745	2450.123	20480	20440
2	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	47	17021.691	2463.819	20480	20440
3	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	143	17048.689	2530.444	20480	20440
4	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	198	393.46	3575.808	20480	20440
5	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	71	12470.782	6141.458	20480	20440
6	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	107	12542.136	6151.248	20480	20440
7	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	146	11632.575	9216.664	20480	20440
8	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	177	11624.263	9310.472	20480	20440
9	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	299	4216.604	15754.59	20480	20440
10	B4-950.tif:ci4.4_c1B4-pcht01	pch	1	B4	1	214	2176	16785.411	20480	20440
11	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	93	17106.038	2282.962	20480	20440
12	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	95	17109.174	2489.668	20480	20440
13	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	100	16924.42	2531.94	20480	20440
14	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	121	17078.244	2580.971	20480	20440
15	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	255	17168.622	2590.492	20480	20440
16	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	128	17071.844	2612	20480	20440
17	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	117	17195.876	2688.278	20480	20440
18	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	94	229.021	3404.138	20480	20440
19	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	105	269.329	3521.767	20480	20440
20	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	100	434.21	3527.75	20480	20440
21	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	96	378.375	3552.292	20480	20440
22	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	119	12783.139	5748.155	20480	20440
23	B4-950.tif:ci4.4_c1B4-pcht02	pch	2	B4	1	116	12802.353	5766.578	20480	20440
