 	Label	Strain	Time	Well	Site	Area	X	Y	W	H
1	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	21	4512.31	3762.071	20480	20440
2	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	26	10570.808	4941.692	20480	20440
3	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	30	10565.967	4953.7	20480	20440
4	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	136	16393.75	5337.184	20480	20440
5	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	137	16577.142	5404.405	20480	20440
6	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	114	16639.412	5500.053	20480	20440
7	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	39	16418.064	5504.372	20480	20440
8	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	58	16449.345	5534.224	20480	20440
9	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	100	16455.15	5550.28	20480	20440
10	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	57	16326.535	5550.395	20480	20440
11	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	117	16151.013	5587.671	20480	20440
12	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	116	16079.302	5625.009	20480	20440
13	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	104	16328.423	5643.231	20480	20440
14	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	86	16168.14	5646.5	20480	20440
15	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	113	16444.022	5687.819	20480	20440
16	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	91	16244.599	5702.665	20480	20440
17	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	98	16535.265	5780.245	20480	20440
18	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	93	16536.618	5842.371	20480	20440
19	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	64	16318.641	5930.344	20480	20440
20	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	106	16326.151	6027.396	20480	20440
21	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	85	14319.641	6704.735	20480	20440
22	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	78	14311.385	6724.372	20480	20440
23	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	114	14371.825	6891.009	20480	20440
24	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	113	14367.659	6913.323	20480	20440
25	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	139	14704.752	7632.622	20480	20440
26	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	126	14673.532	7693.532	20480	20440
27	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	126	14780.159	7835.246	20480	20440
28	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	131	14751.271	7864.088	20480	20440
29	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	58	16921	8182.983	20480	20440
30	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	70	16784.986	8297.371	20480	20440
31	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	80	16782.588	8522.825	20480	20440
32	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	94	16973.819	8545.957	20480	20440
33	B2-mCherry-750.tif:fe-03-10-multic1B2-pcht2	pch	2	B2	1	115	17185.63	8636.77	20480	20440
