 	Label	Strain	Time	Well	Site	Area	X	Y	W	H
1	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	138	14230.355	646.58	20480	20440
2	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	210	7459.829	1772.4	20480	20440
3	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	146	1931.144	2110.459	20480	20440
4	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	63	8562.087	4265.389	20480	20440
5	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	51	8536.696	4278.186	20480	20440
6	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	53	6327.009	5140.123	20480	20440
7	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	93	18226.274	5381.758	20480	20440
8	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	74	12678.284	5625.77	20480	20440
9	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	118	14713.161	6854.661	20480	20440
10	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	98	4985.796	7628.347	20480	20440
11	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	104	11584.827	8093.567	20480	20440
12	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	39	7845.962	8232.731	20480	20440
13	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	16	7842.938	8242.188	20480	20440
14	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	158	19998.063	8963.816	20480	20440
15	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	177	1653.353	10235.014	20480	20440
16	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	20	8575.7	12443.7	20480	20440
17	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	110	8594.836	12463.4	20480	20440
18	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	92	6559.185	13217.293	20480	20440
19	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	12	1320.917	13760.25	20480	20440
20	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	71	4968.852	14282.852	20480	20440
21	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	70	12620.214	14679.629	20480	20440
22	A1-Ypet-800.tif:fe-03-10-multic2A1-WTt2	WT	2	A1	1	65	12617.792	14700.731	20480	20440
